month,day,Solar_per,Eólica_per,Hidráulica_per,Carbón_per,Gas Natural_per
2,23,0.03384632737272453,-0.07634177874872734,-0.04690085349343048,-0.029494554464099817,0.19023084429126783
2,24,0.031158650601716433,-0.08128938456080838,-0.051302290337466416,-0.02759949754315657,0.2015505372531345
2,25,0.028540060561016836,-0.08624421569433789,-0.05605156450748457,-0.025376295131723195,0.21254491702832323
2,26,0.02600306215961528,-0.09110007439971789,-0.061160968446042595,-0.022837488897839684,0.223058843118062
2,27,0.023557643552134095,-0.0957527901986274,-0.06663434030504918,-0.020004125575788408,0.2329468776098565
2,28,0.021210949163953653,-0.10010292115792983,-0.07246692459118732,-0.016905198945031806,0.24207681468725714
3,1,0.01896703029886352,-0.1040582906987603,-0.07864545127648671,-0.013576878108867544,0.2503328576998528
3,2,0.01682668071129013,-0.10753629405922586,-0.08514843149176278,-0.010061545787438304,0.257618363741342
3,3,0.014787362183887856,-0.11046591577615131,-0.09194666193145495,-0.006406675387435419,0.263858087244548
3,4,0.012843222655292696,-0.11278940835252774,-0.09900392431319138,-0.0026635797838529983,0.2689998674574507
3,5,0.010985206863788757,-0.11446359236489786,-0.10627786081874807,0.0011139320607278487,0.27301571944707625
3,6,0.009201256883940289,-0.11546074934181191,-0.11372100155065154,0.004870952389219289,0.27590230409050026
3,7,0.007476597406831596,-0.11576909048636094,-0.12128191581976679,0.00855288659705487,0.27768076892769245
3,8,0.005794098224788784,-0.11539279638015128,-0.12890645565145223,0.012106840698238941,0.27839596832379476
3,9,0.004134704195407466,-0.1143516348460599,-0.1365390573662686,0.015482946416308204,0.27811508767273846
3,10,0.002477921041446513,-0.11268017581878612,-0.1441240655288042,0.018635588314095487,0.2769257119316839
3,11,0.0008023437474334635,-0.11042663304450917,-0.15160704301499472,0.021524500674796547,0.2749333931883064
3,12,-0.0009137869121213723,-0.1076513723965858,-0.15893603143833074,0.024115706025911905,0.27225878484522364
3,13,-0.002692014998422799,-0.10442513527798741,-0.16606272768840732,0.026382272127568468,0.26903442101549313
3,14,-0.004553102863701445,-0.10082703274546546,-0.17294354482753058,0.02830486977338579,0.26540122856794607
3,15,-0.006516483060080324,-0.09694237144729834,-0.17954052899240922,0.029872119707926217,0.2615048657132096
3,16,-0.008599743831710712,-0.09286037607543178,-0.18582210815833206,0.031080723169405543,0.2574919849126107
3,17,-0.010818162397063345,-0.088671874711684,-0.19176365352255073,0.03193537683511785,0.2535065191321212
3,18,-0.013184298902562227,-0.08446701316985346,-0.19734783970923525,0.03244847909588064,0.24968608902906164
3,19,-0.015707662236094374,-0.08033306223215288,-0.20256479583064474,0.032639640433244875,0.24615862460385357
3,20,-0.01839445687903586,-0.07635237763690039,-0.20741204549101597,0.03253501605352528,0.2430392882963452
3,21,-0.021247417702764358,-0.07260056693737932,-0.21189423991035305,0.032166483689968633,0.24042777764930345
3,22,-0.024265737148296714,-0.06914491010490148,-0.21602269430279902,0.03157069348849999,0.23840607475356973
3,23,-0.02744508663214778,-0.06604307223067458,-0.21981474328887396,0.03078802003314254,0.2370366970418691
3,24,-0.030777731375092054,-0.06334213715413166,-0.22329293629206953,0.02986144876305686,0.23636148996648393
3,25,-0.034252735227899005,-0.061077980608884544,-0.2264840984148803,0.028835430231226842,0.23640098707300616
3,26,-0.03785624954336805,-0.05927499084516655,-0.22941828607599485,0.02775473583437732,0.23715434738639077
3,27,-0.04157187779208008,-0.057946133982404294,-0.2321276696077977,0.026663347811106953,0.2385998642880857
3,28,-0.04538110550415526,-0.05709335089242408,-0.23464537697746027,0.02560341450230008,0.24069602461724657
3,29,-0.049263783306090506,-0.05670826252227093,-0.23700433374918436,0.02461429916089885,0.24338308199798186
3,30,-0.053198649358048945,-0.05677315153413548,-0.23923613432152585,0.023731747082525127,0.2465850947790091
3,31,-0.05716387642748448,-0.05726218022862069,-0.2413699783578624,0.022987191623119022,0.25021236683816583
4,1,-0.06113762819019263,-0.05814279815978796,-0.24343170421150934,0.022407214911390708,0.2541642191779369
4,2,-0.0650986091463954,-0.05937728783230203,-0.2454429480956409,0.022013173907628216,0.2583320119897734
4,3,-0.06902659278488965,-0.060924393529075645,-0.24742045385133118,0.021820997068969214,0.26260233090702056
4,4,-0.07290291331295784,-0.06274097674391385,-0.24937555354225863,0.02184115142558583,0.2668602476472426
4,5,-0.07671090737663495,-0.06478364191553121,-0.2513138338878603,0.022078774520772875,0.2709925642421125
4,6,-0.0804362936882148,-0.0670102781586245,-0.2532349978943763,0.022533960587593205,0.27489095157400634
4,7,-0.08406748031681673,-0.06938146638670738,-0.2551329251219216,0.023202185679250992,0.278454896922378
4,8,-0.08759579152542944,-0.07186170649139648,-0.2569959280115416,0.024074852380463085,0.2815943815360736
4,9,-0.09101560839555797,-0.07442042591137545,-0.2588071957678306,0.025139931326057095,0.28423221769715734
4,10,-0.0943244199970208,-0.07703273877067777,-0.2605454116244245,0.026382674137650334,0.2863059850713937
4,11,-0.09752278446452857,-0.07967993354026741,-0.2621855240810364,0.027786370635370386,0.28776951804801154
4,12,-0.10061420195690216,-0.08234967659848114,-0.2636996480461734,0.02933312233610599,0.2885939089072424
4,13,-0.10360490402399335,-0.085035928834534,-0.2650580678856762,0.031004604327241277,0.2887680056419009
4,14,-0.10650356631677284,-0.08773858224885221,-0.2662303112825295,0.032782788598166863,0.28829839769774745
4,15,-0.10932095377634123,-0.09046283304292059,-0.2671862606476307,0.03465060377791897,0.28720889737627575
4,16,-0.11206950936548149,-0.09321831666128891,-0.26789726764801336,0.03659250889918984,0.2855395387567936
4,17,-0.11476289900454789,-0.09601803836727713,-0.26833723627448397,0.03859496219557855,0.28334512934580486
4,18,-0.1174155265971437,-0.09887713994605332,-0.26848364075709896,0.04064676992516889,0.28069340188133546
4,19,-0.12004203384353182,-0.10181154881477084,-0.268318446527872,0.042739304665577654,0.27766282447375845
4,20,-0.12265679991874436,-0.10483655999860685,-0.2678289052704277,0.04486658729849757,0.274340136259967
4,21,-0.12527345602770237,-0.10796540397289904,-0.2670081987996544,0.04702523183762465,0.27081768274553747
4,22,-0.12790442934210405,-0.11120785419068219,-0.26585591097225664,0.049214257191169376,0.2671906298315284
4,23,-0.13056052989147401,-0.11456892718549205,-0.26437831190829364,0.0514347747303726,0.2635541380457094
4,24,-0.13325059264845218,-0.1180477254848204,-0.26258844435387524,0.0536895649996418,0.26000057867867893
4,25,-0.1359811853586867,-0.12163646926907586,-0.2605060078715874,0.055982560911364616,0.25661687137064415
4,26,-0.1387563906657175,-0.12531975689387392,-0.2581570425348806,0.058318258184904645,0.2534820182942083
4,27,-0.14157766883281242,-0.12907408723736763,-0.2555734197472613,0.06070107650626718,0.2506649035724746
4,28,-0.1444438049309076,-0.13286766855624316,-0.25279215353206924,0.06313469681201746,0.248222418166834
4,29,-0.14735094181763742,-0.13666052938833265,-0.2498545509740669,0.06562140117408254,0.2461979604223797
4,30,-0.1502926976520947,-0.14040493730913398,-0.2468052252819332,0.06816144194601642,0.24462035107010296
5,1,-0.15326036414754088,-0.14404612133107034,-0.2436909990420229,0.0707524661145801,0.24350318909627033
5,2,-0.15624317933799362,-0.1475232837425286,-0.24055972852442425,0.07338901920670436,0.24284466185923057
5,3,-0.15922866639160038,-0.1507708775256629,-0.23745908229025686,0.07606215067534247,0.24262780954804683
5,4,-0.162203028014578,-0.15372011647319814,-0.2344353087598915,0.07875913950606404,0.24282123091370986
5,5,-0.16515158430866944,-0.1563006770263352,-0.23153202779961077,0.08146335494545619,0.24338020454489578
5,6,-0.1680592406250201,-0.15844254393789997,-0.2287890807544746,0.08415426287404876,0.2442481881632939
5,7,-0.17091097103581757,-0.1600779463494554,-0.22624147172041323,0.08680758356748562,0.24535864781307598
5,8,-0.17369230254824702,-0.16114332693804315,-0.22391843025831765,0.08939560155918237,0.24663715970919223
5,9,-0.17638978513090608,-0.1615812845749477,-0.22184262228258483,0.09188762319780512,0.2480037201424189
5,10,-0.17899143300809547,-0.16134243052583752,-0.22002953161501904,0.09425057244262569,0.24937519341296602
5,11,-0.18148712349650864,-0.16038709963835684,-0.2184870298023727,0.0964497106245398,0.2506678244191592
5,12,-0.1838689408822126,-0.1586868611851727,-0.217215146404327,0.09844946147147202,0.2517997413465429
5,13,-0.18613145443321424,-0.1562257789739133,-0.21620604622261366,0.10021431880164784,0.2526933748979267
